Timestamp,humidity,temperature,sound,pm25,NO2,C2H5OH,VOC,CO,Image Path,num_vehicles
1694783336.673053,43,25,0,0,177,245,63,93,/content/drive/Shareddrives/1:1 Aaditya Jhamb/Sensor Reading Results/Code/Train Test datasets/Test/sensorDataUK_withHotspot3/timestamp_1694783336.673053.png,2
1694783360.9531012,40,25,0,0,184,238,56,92,/content/drive/Shareddrives/1:1 Aaditya Jhamb/Sensor Reading Results/Code/Train Test datasets/Test/sensorDataUK_withHotspot3/timestamp_1694783360.9531012.png,3
1694783386.294251,41,25,0,0,161,224,38,87,/content/drive/Shareddrives/1:1 Aaditya Jhamb/Sensor Reading Results/Code/Train Test datasets/Test/sensorDataUK_withHotspot3/timestamp_1694783386.294251.png,1
1694783406.725446,41,25,0,0,154,212,25,87,/content/drive/Shareddrives/1:1 Aaditya Jhamb/Sensor Reading Results/Code/Train Test datasets/Test/sensorDataUK_withHotspot3/timestamp_1694783406.0.png,3
1694783426.074039,40,25,0,0,156,208,19,86,/content/drive/Shareddrives/1:1 Aaditya Jhamb/Sensor Reading Results/Code/Train Test datasets/Test/sensorDataUK_withHotspot3/timestamp_1694783426.074039.png,1
1694783435.969302,40,25,0,0,172,209,21,87,/content/drive/Shareddrives/1:1 Aaditya Jhamb/Sensor Reading Results/Code/Train Test datasets/Test/sensorDataUK_withHotspot3/timestamp_1694783435.969302.png,4
1694783441.04597,40,25,0,0,170,209,22,87,/content/drive/Shareddrives/1:1 Aaditya Jhamb/Sensor Reading Results/Code/Train Test datasets/Test/sensorDataUK_withHotspot3/timestamp_1694783441.04597.png,0
1694783542.926218,41,25,0,0,150,185,1,83,/content/drive/Shareddrives/1:1 Aaditya Jhamb/Sensor Reading Results/Code/Train Test datasets/Test/sensorDataUK_withHotspot3/timestamp_1694783542.926218.png,1
1694783568.3363788,40,25,0,0,159,185,5,83,/content/drive/Shareddrives/1:1 Aaditya Jhamb/Sensor Reading Results/Code/Train Test datasets/Test/sensorDataUK_withHotspot3/timestamp_1694783568.3363788.png,2
1694783573.436758,40,25,0,0,171,190,9,85,/content/drive/Shareddrives/1:1 Aaditya Jhamb/Sensor Reading Results/Code/Train Test datasets/Test/sensorDataUK_withHotspot3/timestamp_1694783573.436758.png,0
